plot,frequency,height,landuse,value,landscape,Time,species,transmission,ambient.noise,excess_attenuation,extinction,extinction_species,area_ha,tree_density,basal_area_m2_ha,tree_height_m,crown_base_height_m,understory_density,understory_height_m,pred_species,rel_pred_species
BF1,2.1,5,Forest,extrapolated,Bukit 12,sunrise,NA,-4.975522795,37.81540112,NA,9.330931224,NA,69350.49679,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2.1,5,Forest,extrapolated,Bukit 12,sunset,NA,-4.975522795,53.96160839,NA,5.635272256,NA,35.36423749,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2.4,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-10.76968747,38.69805505,NA,3.838533499,NA,0.681169332,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2.4,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-10.76968747,57.43970915,NA,2.096143358,NA,0.020817811,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2.4,2,Forest,extrapolated,Bukit 12,sunrise,NA,-7.04656141,38.69805505,NA,5.956387216,NA,53.02691378,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2.4,2,Forest,extrapolated,Bukit 12,sunset,NA,-7.04656141,57.43970915,NA,3.236406284,NA,0.21187481,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2.4,5,Forest,extrapolated,Bukit 12,sunrise,NA,-5.280205457,38.69805505,NA,8.373568033,NA,9280.814213,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2.4,5,Forest,extrapolated,Bukit 12,sunset,NA,-5.280205457,57.43970915,NA,4.480396988,NA,3.046071489,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2.6,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-10.73747111,39.64795172,NA,3.761925651,NA,0.584652311,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2.6,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-10.73747111,59.69867909,NA,1.892013549,NA,0.013838415,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2.6,2,Forest,extrapolated,Bukit 12,sunrise,NA,-7.16392513,39.64795172,NA,5.710031681,NA,31.70736678,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2.6,2,Forest,extrapolated,Bukit 12,sunset,NA,-7.16392513,59.69867909,NA,2.858735543,NA,0.098295556,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2.6,5,Forest,extrapolated,Bukit 12,sunrise,NA,-5.483327232,39.64795172,NA,7.759094286,NA,2518.0732,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,2.6,5,Forest,extrapolated,Bukit 12,sunset,NA,-5.483327232,59.69867909,NA,3.832507319,NA,0.773555877,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,3,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-10.67303839,39.11114636,NA,3.836101137,NA,0.679223375,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,3,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-10.67303839,60.17377723,NA,1.859222605,NA,0.01296368,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,3,2,Forest,extrapolated,Bukit 12,sunset,NA,-7.39865257,60.17377723,NA,2.696650603,NA,0.070419957,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,3,2,Forest,extrapolated,Bukit 12,sunrise,Malacocincla malaccensis,-7.39865257,39.11114636,NA,5.582297606,4.346706434,23.91438748,476,688.4965,18.65,10.35,0.0017264,0.7033,62.09759999,1.415027936
BF1,3,5,Forest,extrapolated,Bukit 12,sunrise,NA,-5.889570782,39.11114636,NA,7.164798197,NA,677.1621214,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,3,5,Forest,extrapolated,Bukit 12,sunset,NA,-5.889570782,60.17377723,NA,3.433208838,NA,0.32564242,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,3.3,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-10.62471385,40.4539523,NA,3.727757265,NA,0.547294865,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,3.3,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-10.62471385,61.00926058,NA,1.789217037,NA,0.01127153,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,3.3,2,Forest,extrapolated,Bukit 12,sunrise,NA,-7.57469815,40.4539523,NA,5.260624632,NA,12.30460052,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,3.3,2,Forest,extrapolated,Bukit 12,sunset,NA,-7.57469815,61.00926058,NA,2.519126623,NA,0.049085813,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,3.3,5,Forest,extrapolated,Bukit 12,sunrise,NA,-6.194253444,40.4539523,NA,6.510892107,NA,166.8080601,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,3.3,5,Forest,extrapolated,Bukit 12,sunset,NA,-6.194253444,61.00926058,NA,3.103290196,NA,0.162717845,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,3.6,0.1,Forest,extrapolated,Bukit 12,sunrise,NA,-10.57638931,42.90253652,NA,3.513566242,NA,0.356684173,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,3.6,0.1,Forest,extrapolated,Bukit 12,sunset,NA,-10.57638931,60.35255453,NA,1.859894659,NA,0.012988599,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,3.6,2,Forest,extrapolated,Bukit 12,sunrise,NA,-7.75074373,42.90253652,NA,4.812797601,NA,4.93303578,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,3.6,2,Forest,extrapolated,Bukit 12,sunset,NA,-7.75074373,60.35255453,NA,2.544314943,NA,0.051479206,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,3.6,5,Forest,extrapolated,Bukit 12,sunrise,NA,-6.498936106,42.90253652,NA,5.77261628,NA,35.38902554,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,3.6,5,Forest,extrapolated,Bukit 12,sunset,NA,-6.498936106,60.35255453,NA,3.045589835,NA,0.142533374,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
BF1,4,0.1,Forest,measured,Bukit 12,sunrise,NA,-10.51195659,40.96414456,8.695521065,3.721412592,NA,0.541955117,476,688.4965,18.65,10.35,0.0017264,0.7033,NA,NA
